,period,stateRegionId,stateRegionDescription,coalRankId,coalRankDescription,mineTypeId,mineTypeDescription,average-employees,labor-hours,number-of-mines,production,productivity,average-employees-units,labor-hours-units,number-of-mines-units,production-units,productivity-units
1576,2006,WNC,West North Central,TOT,All,ALL,All,1028.0,1953730.0,8.0,31231153,15.99,number of employees,hours,number of mines,short tons,short tons per labor hour
1577,2006,OH,Ohio,BIT,Bituminous,UND,Underground,,,11.0,15126041,,number of employees,hours,number of mines,short tons,short tons per labor hour
1578,2006,OH,Ohio,TOT,All,UND,Underground,1384.0,3145724.0,11.0,15126041,4.81,number of employees,hours,number of mines,short tons,short tons per labor hour
1579,2006,OH,Ohio,BIT,Bituminous,SUR,Surface,,,41.0,7596008,,number of employees,hours,number of mines,short tons,short tons per labor hour
1580,2006,OH,Ohio,TOT,All,SUR,Surface,1029.0,2479774.0,41.0,7596008,3.06,number of employees,hours,number of mines,short tons,short tons per labor hour
1581,2006,OH,Ohio,BIT,Bituminous,ALL,All,,,52.0,22722049,,number of employees,hours,number of mines,short tons,short tons per labor hour
1582,2006,OH,Ohio,TOT,All,ALL,All,2413.0,5625498.0,52.0,22722049,4.04,number of employees,hours,number of mines,short tons,short tons per labor hour
1583,2006,IN,Indiana,BIT,Bituminous,UND,Underground,,,7.0,10736428,,number of employees,hours,number of mines,short tons,short tons per labor hour
1584,2006,IN,Indiana,TOT,All,UND,Underground,1231.0,3106140.0,7.0,10736428,3.46,number of employees,hours,number of mines,short tons,short tons per labor hour
1585,2006,IN,Indiana,BIT,Bituminous,SUR,Surface,,,21.0,24382632,,number of employees,hours,number of mines,short tons,short tons per labor hour
1586,2006,IN,Indiana,TOT,All,SUR,Surface,1627.0,4192289.0,21.0,24382632,5.82,number of employees,hours,number of mines,short tons,short tons per labor hour
1587,2006,IN,Indiana,BIT,Bituminous,ALL,All,,,28.0,35119060,,number of employees,hours,number of mines,short tons,short tons per labor hour
1588,2006,IN,Indiana,TOT,All,ALL,All,2858.0,7298429.0,28.0,35119060,4.81,number of employees,hours,number of mines,short tons,short tons per labor hour
1589,2006,IL,Illinois,BIT,Bituminous,UND,Underground,,,15.0,27120280,,number of employees,hours,number of mines,short tons,short tons per labor hour
1590,2006,IL,Illinois,TOT,All,UND,Underground,3507.0,7698067.0,15.0,27120280,3.52,number of employees,hours,number of mines,short tons,short tons per labor hour
1591,2006,IL,Illinois,BIT,Bituminous,SUR,Surface,,,7.0,5608520,,number of employees,hours,number of mines,short tons,short tons per labor hour
1592,2006,IL,Illinois,TOT,All,SUR,Surface,470.0,1147845.0,7.0,5608520,4.89,number of employees,hours,number of mines,short tons,short tons per labor hour
1593,2006,IL,Illinois,BIT,Bituminous,ALL,All,,,22.0,32728800,,number of employees,hours,number of mines,short tons,short tons per labor hour
1594,2006,IL,Illinois,TOT,All,ALL,All,3977.0,8845912.0,22.0,32728800,3.7,number of employees,hours,number of mines,short tons,short tons per labor hour
1595,2006,ENC,East North Central,BIT,Bituminous,UND,Underground,,,33.0,52982749,,number of employees,hours,number of mines,short tons,short tons per labor hour
1596,2006,ENC,East North Central,TOT,All,UND,Underground,6122.0,13949931.0,33.0,52982749,3.8,number of employees,hours,number of mines,short tons,short tons per labor hour
1597,2006,ENC,East North Central,BIT,Bituminous,SUR,Surface,,,69.0,37587160,,number of employees,hours,number of mines,short tons,short tons per labor hour
1598,2006,ENC,East North Central,TOT,All,SUR,Surface,3126.0,7819908.0,69.0,37587160,4.81,number of employees,hours,number of mines,short tons,short tons per labor hour
1599,2006,ENC,East North Central,BIT,Bituminous,ALL,All,,,102.0,90569909,,number of employees,hours,number of mines,short tons,short tons per labor hour
1600,2005,WBO,Other Western,BIT,Bituminous,SUR,Surface,,,4.0,17995596,,number of employees,hours,number of mines,short tons,short tons per labor hour
1601,2005,UNT,Uinta Basin,BIT,Bituminous,UND,Underground,,,20.0,52494666,,number of employees,hours,number of mines,short tons,short tons per labor hour
1602,2005,UNT,Uinta Basin,TOT,All,UND,Underground,3394.0,6994116.0,20.0,52494666,7.51,number of employees,hours,number of mines,short tons,short tons per labor hour
1603,2005,UNT,Uinta Basin,SUB,Subbituminous,SUR,Surface,,,3.0,8503773,,number of employees,hours,number of mines,short tons,short tons per labor hour
1604,2005,UNT,Uinta Basin,BIT,Bituminous,SUR,Surface,,,1.0,1146267,,number of employees,hours,number of mines,short tons,short tons per labor hour
1605,2005,UNT,Uinta Basin,TOT,All,SUR,Surface,562.0,1182057.0,4.0,9650040,8.16,number of employees,hours,number of mines,short tons,short tons per labor hour
1606,2005,UNT,Uinta Basin,SUB,Subbituminous,ALL,All,,,3.0,8503773,,number of employees,hours,number of mines,short tons,short tons per labor hour
1607,2005,UNT,Uinta Basin,BIT,Bituminous,ALL,All,,,21.0,53640933,,number of employees,hours,number of mines,short tons,short tons per labor hour
1608,2005,UNT,Uinta Basin,TOT,All,ALL,All,3956.0,8176173.0,24.0,62144706,7.6,number of employees,hours,number of mines,short tons,short tons per labor hour
1609,2005,WSB,Western Region Total,SUB,Subbituminous,UND,Underground,,,2.0,572303,,number of employees,hours,number of mines,short tons,short tons per labor hour
1610,2005,WSB,Western Region Total,BIT,Bituminous,UND,Underground,,,22.0,60866020,,number of employees,hours,number of mines,short tons,short tons per labor hour
1611,2005,WSB,Western Region Total,TOT,All,UND,Underground,3929.0,8150091.0,24.0,61438323,7.54,number of employees,hours,number of mines,short tons,short tons per labor hour
1612,2005,WSB,Western Region Total,SUB,Subbituminous,SUR,Surface,,,28.0,474103158,,number of employees,hours,number of mines,short tons,short tons per labor hour
1613,2005,WSB,Western Region Total,LIG,Lignite,SUR,Surface,,,5.0,30286736,,number of employees,hours,number of mines,short tons,short tons per labor hour
1614,2005,WSB,Western Region Total,BIT,Bituminous,SUR,Surface,,,5.0,19141863,,number of employees,hours,number of mines,short tons,short tons per labor hour
1615,2005,WSB,Western Region Total,TOT,All,SUR,Surface,9670.0,20425877.0,38.0,523531757,25.63,number of employees,hours,number of mines,short tons,short tons per labor hour
1616,2005,WSB,Western Region Total,SUB,Subbituminous,ALL,All,,,30.0,474675461,,number of employees,hours,number of mines,short tons,short tons per labor hour
1617,2005,WSB,Western Region Total,LIG,Lignite,ALL,All,,,5.0,30286736,,number of employees,hours,number of mines,short tons,short tons per labor hour
1618,2005,WSB,Western Region Total,BIT,Bituminous,ALL,All,,,27.0,80007883,,number of employees,hours,number of mines,short tons,short tons per labor hour
1619,2005,WSB,Western Region Total,TOT,All,ALL,All,13599.0,28575968.0,62.0,584970080,20.47,number of employees,hours,number of mines,short tons,short tons per labor hour
1620,2005,INT,Interior Region Total,BIT,Bituminous,UND,Underground,,,34.0,59645274,,number of employees,hours,number of mines,short tons,short tons per labor hour
1621,2005,INT,Interior Region Total,TOT,All,UND,Underground,6838.0,16115243.0,34.0,59645274,3.7,number of employees,hours,number of mines,short tons,short tons per labor hour
1622,2005,INT,Interior Region Total,LIG,Lignite,SUR,Surface,,,16.0,53654992,,number of employees,hours,number of mines,short tons,short tons per labor hour
1623,2005,INT,Interior Region Total,BIT,Bituminous,SUR,Surface,,,56.0,35864886,,number of employees,hours,number of mines,short tons,short tons per labor hour
1624,2005,INT,Interior Region Total,TOT,All,SUR,Surface,5240.0,12056001.0,72.0,89519878,7.43,number of employees,hours,number of mines,short tons,short tons per labor hour
1625,2005,INT,Interior Region Total,LIG,Lignite,ALL,All,,,16.0,53654992,,number of employees,hours,number of mines,short tons,short tons per labor hour
1626,2005,INT,Interior Region Total,BIT,Bituminous,ALL,All,,,90.0,95510160,,number of employees,hours,number of mines,short tons,short tons per labor hour
1627,2005,INT,Interior Region Total,TOT,All,ALL,All,12078.0,28171244.0,106.0,149165152,5.29,number of employees,hours,number of mines,short tons,short tons per labor hour
1628,2005,WST,West Total,LIG,Lignite,SUR,Surface,,,1.0,330477,,number of employees,hours,number of mines,short tons,short tons per labor hour
1629,2005,WST,West Total,BIT,Bituminous,SUR,Surface,,,5.0,19141863,,number of employees,hours,number of mines,short tons,short tons per labor hour
1630,2005,WST,West Total,TOT,All,SUR,Surface,8743.0,18647375.0,34.0,493575498,26.47,number of employees,hours,number of mines,short tons,short tons per labor hour
1631,2005,WST,West Total,SUB,Subbituminous,ALL,All,,,30.0,474675461,,number of employees,hours,number of mines,short tons,short tons per labor hour
1632,2005,WST,West Total,LIG,Lignite,ALL,All,,,1.0,330477,,number of employees,hours,number of mines,short tons,short tons per labor hour
1633,2005,WST,West Total,BIT,Bituminous,ALL,All,,,27.0,80007883,,number of employees,hours,number of mines,short tons,short tons per labor hour
1634,2005,WST,West Total,TOT,All,ALL,All,12672.0,26797466.0,58.0,555013821,20.71,number of employees,hours,number of mines,short tons,short tons per labor hour
1635,2005,STH,South Total,BIT,Bituminous,UND,Underground,,,416.0,182870170,,number of employees,hours,number of mines,short tons,short tons per labor hour
1636,2005,STH,South Total,TOT,All,UND,Underground,27145.0,61097205.0,416.0,182870170,2.99,number of employees,hours,number of mines,short tons,short tons per labor hour
1637,2005,STH,South Total,LIG,Lignite,SUR,Surface,,,16.0,53654992,,number of employees,hours,number of mines,short tons,short tons per labor hour
1638,2005,STH,South Total,BIT,Bituminous,SUR,Surface,,,400.0,122111439,,number of employees,hours,number of mines,short tons,short tons per labor hour
1639,2005,STH,South Total,TOT,All,SUR,Surface,16616.0,38444823.0,416.0,175766431,4.57,number of employees,hours,number of mines,short tons,short tons per labor hour
1640,2005,STH,South Total,LIG,Lignite,ALL,All,,,16.0,53654992,,number of employees,hours,number of mines,short tons,short tons per labor hour
1641,2005,STH,South Total,BIT,Bituminous,ALL,All,,,816.0,304981609,,number of employees,hours,number of mines,short tons,short tons per labor hour
1642,2005,STH,South Total,TOT,All,ALL,All,43761.0,99542028.0,832.0,358636601,3.6,number of employees,hours,number of mines,short tons,short tons per labor hour
1643,2005,MID,Midwest Total,BIT,Bituminous,UND,Underground,,,30.0,53354381,,number of employees,hours,number of mines,short tons,short tons per labor hour
1644,2005,MID,Midwest Total,TOT,All,UND,Underground,5920.0,13723717.0,30.0,53354381,3.89,number of employees,hours,number of mines,short tons,short tons per labor hour
1645,2005,MID,Midwest Total,LIG,Lignite,SUR,Surface,,,4.0,29956259,,number of employees,hours,number of mines,short tons,short tons per labor hour
1646,2005,MID,Midwest Total,BIT,Bituminous,SUR,Surface,,,76.0,38603455,,number of employees,hours,number of mines,short tons,short tons per labor hour
1647,2005,MID,Midwest Total,TOT,All,SUR,Surface,4090.0,9763817.0,80.0,68559714,7.02,number of employees,hours,number of mines,short tons,short tons per labor hour
1648,2005,MID,Midwest Total,LIG,Lignite,ALL,All,,,4.0,29956259,,number of employees,hours,number of mines,short tons,short tons per labor hour
1649,2005,MID,Midwest Total,BIT,Bituminous,ALL,All,,,106.0,91957836,,number of employees,hours,number of mines,short tons,short tons per labor hour
1650,2005,MID,Midwest Total,TOT,All,ALL,All,10010.0,23487534.0,110.0,121914095,5.19,number of employees,hours,number of mines,short tons,short tons per labor hour
1651,2005,EST,East Total,BIT,Bituminous,UND,Underground,,,122.0,70684334,,number of employees,hours,number of mines,short tons,short tons per labor hour
1652,2005,EST,East Total,ANT,Anthracite,UND,Underground,,,14.0,264292,,number of employees,hours,number of mines,short tons,short tons per labor hour
