,period,value,GDP
380,2021,1331.0,23315.08056
381,2021,195935.0,23315.08056
382,2021,2191453.0,23315.08056
383,2021,8506625.0,23315.08056
385,2021,1042685.0,23315.08056
386,2021,30000232.0,23315.08056
388,2021,122931.0,23315.08056
389,2021,47.0,23315.08056
391,2021,2234618.0,23315.08056
392,2021,9708.0,23315.08056
393,2021,1109232.0,23315.08056
394,2021,2571834.0,23315.08056
395,2021,38693.0,23315.08056
396,2021,72301.0,23315.08056
397,2021,7526590.0,23315.08056
398,2021,37453.0,23315.08056
399,2021,711.0,23315.08056
400,2021,5.0,23315.08056
401,2021,9881522.0,23315.08056
402,2021,3.0,23315.08056
403,2021,71452.0,23315.08056
404,2021,4063.0,23315.08056
405,2021,3586.0,23315.08056
406,2021,798701.0,23315.08056
408,2021,1240.0,23315.08056
409,2021,333617.0,23315.08056
410,2021,17179.0,23315.08056
411,2021,28.0,23315.08056
412,2021,6.0,23315.08056
414,2021,1199.0,23315.08056
415,2021,447985.0,23315.08056
416,2021,12.0,23315.08056
417,2021,466047.0,23315.08056
418,2021,3419036.0,23315.08056
419,2021,1399.0,23315.08056
422,2021,3492.0,23315.08056
423,2021,397641.0,23315.08056
424,2021,519685.0,23315.08056
425,2021,152986.0,23315.08056
426,2021,161.0,23315.08056
427,2021,102267.0,23315.08056
428,2021,2131.0,23315.08056
430,2021,31658.0,23315.08056
431,2021,1903.0,23315.08056
432,2021,21806.0,23315.08056
434,2021,81937.0,23315.08056
435,2021,5.0,23315.08056
436,2021,641.0,23315.08056
438,2021,76332.0,23315.08056
439,2021,9749.0,23315.08056
442,2021,22616.0,23315.08056
449,2021,3711.0,23315.08056
450,2021,327.0,23315.08056
451,2021,4063.0,23315.08056
452,2021,229.0,23315.08056
453,2021,41666118.0,23315.08056
454,2021,16613.0,23315.08056
455,2021,80506.0,23315.08056
457,2021,291.0,23315.08056
459,2021,74242.0,23315.08056
460,2021,1331.0,23315.08056
461,2021,29051.0,23315.08056
463,2021,16.0,23315.08056
464,2021,24498.0,23315.08056
465,2021,37328378.0,23315.08056
468,2021,202452.0,23315.08056
469,2021,7626504.0,23315.08056
470,2021,1055521.0,23315.08056
471,2021,849.0,23315.08056
472,2021,28.0,23315.08056
474,2021,4280.0,23315.08056
475,2021,21043.0,23315.08056
477,2021,478959.0,23315.08056
478,2021,4327.0,23315.08056
479,2021,4294.0,23315.08056
481,2021,17179.0,23315.08056
485,2021,3602.0,23315.08056
486,2021,9875390.0,23315.08056
487,2021,999025.0,23315.08056
488,2021,205.0,23315.08056
489,2021,9322.0,23315.08056
494,2021,1374730.0,23315.08056
495,2021,1879457.0,23315.08056
497,2021,7796.0,23315.08056
498,2021,329664.0,23315.08056
501,2021,8106.0,23315.08056
502,2021,374.0,23315.08056
503,2021,3602.0,23315.08056
504,2021,3602.0,23315.08056
505,2021,30557.0,23315.08056
506,2021,534233.0,23315.08056
507,2021,15244.0,23315.08056
508,2021,2760429.0,23315.08056
509,2021,3436215.0,23315.08056
510,2020,569134.0,21060.473613
512,2020,6759.0,21060.473613
513,2020,48629.0,21060.473613
516,2020,108.0,21060.473613
517,2020,40.0,21060.473613
518,2020,30444.0,21060.473613
520,2020,47.0,21060.473613
521,2020,9692.0,21060.473613
522,2020,1808773.0,21060.473613
523,2020,48299.0,21060.473613
524,2020,297207.0,21060.473613
527,2020,5325.0,21060.473613
528,2020,320.0,21060.473613
529,2020,170579.0,21060.473613
530,2020,217.0,21060.473613
531,2020,28.0,21060.473613
533,2020,22684.0,21060.473613
534,2020,3766.0,21060.473613
535,2020,1336905.0,21060.473613
536,2020,3328.0,21060.473613
537,2020,3539.0,21060.473613
538,2020,480772.0,21060.473613
539,2020,25454.0,21060.473613
540,2020,2484.0,21060.473613
541,2020,480982.0,21060.473613
542,2020,595.0,21060.473613
545,2020,48299.0,21060.473613
546,2020,2770.0,21060.473613
547,2020,1843.0,21060.473613
549,2020,4611984.0,21060.473613
550,2020,4197.0,21060.473613
551,2020,82388.0,21060.473613
552,2020,9336110.0,21060.473613
553,2020,882443.0,21060.473613
562,2020,45940.0,21060.473613
565,2020,1970961.0,21060.473613
566,2020,10409921.0,21060.473613
567,2020,1990462.0,21060.473613
568,2020,12382.0,21060.473613
574,2020,4012.0,21060.473613
575,2020,7066.0,21060.473613
576,2020,2770.0,21060.473613
578,2020,985813.0,21060.473613
579,2020,163356.0,21060.473613
580,2020,6023.0,21060.473613
581,2020,5909.0,21060.473613
583,2020,2316686.0,21060.473613
584,2020,7996977.0,21060.473613
585,2020,7016929.0,21060.473613
586,2020,324.0,21060.473613
588,2020,14.0,21060.473613
589,2020,408271.0,21060.473613
592,2020,8.0,21060.473613
597,2020,367154.0,21060.473613
598,2020,2994532.0,21060.473613
599,2020,27759.0,21060.473613
600,2020,1948168.0,21060.473613
601,2020,37963.0,21060.473613
603,2020,69754.0,21060.473613
604,2020,64911.0,21060.473613
605,2020,117028.0,21060.473613
606,2020,409716.0,21060.473613
607,2020,7050433.0,21060.473613
608,2020,2529098.0,21060.473613
609,2020,768.0,21060.473613
610,2020,181689.0,21060.473613
611,2020,9333882.0,21060.473613
613,2020,2378035.0,21060.473613
614,2020,233239.0,21060.473613
615,2020,8750.0,21060.473613
616,2020,20756.0,21060.473613
617,2020,642.0,21060.473613
618,2020,236469.0,21060.473613
619,2020,63.0,21060.473613
620,2020,38045.0,21060.473613
621,2020,165.0,21060.473613
622,2020,33831.0,21060.473613
627,2020,5066.0,21060.473613
628,2020,18224.0,21060.473613
630,2020,9692.0,21060.473613
631,2020,71018.0,21060.473613
633,2020,27645.0,21060.473613
634,2020,24288.0,21060.473613
635,2020,170579.0,21060.473613
639,2020,57367.0,21060.473613
640,2020,7148295.0,21060.473613
641,2020,6661.0,21060.473613
642,2020,17446.0,21060.473613
644,2020,3716990.0,21060.473613
646,2020,12.0,21060.473613
647,2020,3206163.0,21060.473613
650,2020,166.0,21060.473613
651,2020,6019.0,21060.473613
652,2020,1987979.0,21060.473613
653,2020,33.0,21060.473613
655,2020,28581.0,21060.473613
656,2020,65786.0,21060.473613
657,2020,351.0,21060.473613
658,2020,15975.0,21060.473613
659,2020,40613767.0,21060.473613
660,2020,1.0,21060.473613
661,2020,3212081.0,21060.473613
662,2020,279529.0,21060.473613
664,2020,107.0,21060.473613
665,2020,47210.0,21060.473613
667,2020,1.0,21060.473613
668,2020,133758.0,21060.473613
669,2020,10778.0,21060.473613
671,2020,102469.0,21060.473613
672,2020,714568.0,21060.473613
674,2020,88470.0,21060.473613
675,2020,789262.0,21060.473613
678,2020,407.0,21060.473613
679,2020,56332.0,21060.473613
681,2020,481.0,21060.473613
682,2020,1758226.0,21060.473613
684,2020,2795.0,21060.473613
685,2020,1.0,21060.473613
686,2020,114233.0,21060.473613
687,2020,214284.0,21060.473613
688,2020,49404.0,21060.473613
689,2020,2228.0,21060.473613
690,2020,68729.0,21060.473613
692,2020,20960.0,21060.473613
693,2020,2752.0,21060.473613
694,2020,7999205.0,21060.473613
695,2020,68729.0,21060.473613
697,2020,3189354.0,21060.473613
698,2020,3183479.0,21060.473613
700,2020,48299.0,21060.473613
703,2020,1426.0,21060.473613
704,2020,228.0,21060.473613
705,2020,4197.0,21060.473613
707,2020,163356.0,21060.473613
708,2020,263046.0,21060.473613
709,2020,7.0,21060.473613
710,2020,39528.0,21060.473613
712,2020,2006.0,21060.473613
713,2020,2378902.0,21060.473613
714,2020,2592319.0,21060.473613
715,2020,404391.0,21060.473613
719,2020,1374329.0,21060.473613
720,2020,242584.0,21060.473613
722,2020,4101.0,21060.473613
725,2020,3361686.0,21060.473613
726,2020,102824.0,21060.473613
727,2020,110235.0,21060.473613
728,2020,620033.0,21060.473613
729,2020,28134.0,21060.473613
730,2020,106680.0,21060.473613
731,2020,2471305.0,21060.473613
733,2020,298.0,21060.473613
736,2020,13680.0,21060.473613
737,2020,3163622.0,21060.473613
738,2020,17087.0,21060.473613
739,2020,7268.0,21060.473613
740,2020,1068041.0,21060.473613
745,2020,262982.0,21060.473613
746,2020,241989.0,21060.473613
747,2020,36202446.0,21060.473613
748,2020,2378902.0,21060.473613
751,2020,1157998.0,21060.473613
752,2020,460767.0,21060.473613
753,2020,201033.0,21060.473613
754,2020,2763.0,21060.473613
755,2020,164433.0,21060.473613
756,2020,2738586.0,21060.473613
757,2020,10407437.0,21060.473613
758,2020,17488.0,21060.473613
762,2020,10.0,21060.473613
763,2020,320.0,21060.473613
765,2020,149637.0,21060.473613
766,2020,407.0,21060.473613
767,2020,41823.0,21060.473613
769,2020,4575.0,21060.473613
772,2020,320.0,21060.473613
775,2020,68959.0,21060.473613
776,2020,12.0,21060.473613
779,2020,11375.0,21060.473613
780,2020,20.0,21060.473613
783,2020,5325.0,21060.473613
784,2020,2770.0,21060.473613
785,2020,10.0,21060.473613
786,2020,74694.0,21060.473613
787,2020,2228.0,21060.473613
789,2020,108.0,21060.473613
790,2020,204201.0,21060.473613
792,2020,3724.0,21060.473613
795,2020,108.0,21060.473613
796,2020,102469.0,21060.473613
797,2020,288386.0,21060.473613
798,2020,47210.0,21060.473613
800,2020,2329543.0,21060.473613
801,2020,48299.0,21060.473613
802,2020,2786366.0,21060.473613
804,2020,5.0,21060.473613
805,2020,1843.0,21060.473613
806,2020,7148295.0,21060.473613
807,2020,1843.0,21060.473613
808,2020,189942.0,21060.473613
809,2020,102793.0,21060.473613
810,2020,10.0,21060.473613
813,2020,4.0,21060.473613
814,2020,4197.0,21060.473613
815,2020,210.0,21060.473613
816,2020,718010.0,21060.473613
817,2020,66.0,21060.473613
818,2020,49359.0,21060.473613
819,2020,14050.0,21060.473613
820,2020,28130.0,21060.473613
821,2020,22727.0,21060.473613
822,2020,2158.0,21060.473613
823,2020,3766.0,21060.473613
825,2020,7838.0,21060.473613
826,2020,33.0,21060.473613
828,2020,346692.0,21060.473613
829,2020,593.0,21060.473613
832,2020,4459.0,21060.473613
833,2020,1968641.0,21060.473613
834,2020,592770.0,21060.473613
835,2020,31316.0,21060.473613
836,2020,235876.0,21060.473613
837,2020,217995.0,21060.473613
838,2020,3085278.0,21060.473613
839,2020,2059.0,21060.473613
840,2020,375.0,21060.473613
841,2020,2709697.0,21060.473613
843,2020,21776.0,21060.473613
844,2020,297372.0,21060.473613
846,2020,17940.0,21060.473613
847,2020,24033.0,21060.473613
848,2020,12.0,21060.473613
849,2020,1994399.0,21060.473613
851,2020,1.0,21060.473613
853,2020,1246790.0,21060.473613
855,2020,47.0,21060.473613
856,2020,156287.0,21060.473613
857,2020,395601.0,21060.473613
858,2020,8134830.0,21060.473613
860,2020,946168.0,21060.473613
861,2020,3.0,21060.473613
863,2020,1.0,21060.473613
864,2020,47301.0,21060.473613
866,2020,7.0,21060.473613
867,2020,66080.0,21060.473613
868,2020,164060.0,21060.473613
869,2020,141.0,21060.473613
871,2020,3855.0,21060.473613
874,2020,36881.0,21060.473613
875,2020,351.0,21060.473613
876,2020,97862.0,21060.473613
877,2020,64143.0,21060.473613
878,2020,4938.0,21060.473613
879,2020,1082.0,21060.473613
880,2020,52.0,21060.473613
881,2020,592629.0,21060.473613
882,2020,6518.0,21060.473613
883,2020,257268.0,21060.473613
885,2020,22727.0,21060.473613
886,2020,1270416.0,21060.473613
887,2020,300285.0,21060.473613
888,2020,614027.0,21060.473613
889,2020,374185.0,21060.473613
890,2020,1.0,21060.473613
891,2020,407.0,21060.473613
892,2020,66.0,21060.473613
893,2020,1944.0,21060.473613
894,2020,8879.0,21060.473613
895,2020,71018.0,21060.473613
896,2020,67629.0,21060.473613
897,2020,351.0,21060.473613
900,2020,174003.0,21060.473613
901,2020,4.0,21060.473613
903,2020,5707.0,21060.473613
905,2020,27031.0,21060.473613
906,2020,1.0,21060.473613
907,2020,805010.0,21060.473613
908,2020,338329.0,21060.473613
910,2020,274607.0,21060.473613
912,2020,9692.0,21060.473613
913,2020,30869.0,21060.473613
914,2020,4032.0,21060.473613
915,2020,633426.0,21060.473613
916,2020,18387.0,21060.473613
917,2020,66.0,21060.473613
918,2020,38045.0,21060.473613
919,2020,1989048.0,21060.473613
920,2020,78335.0,21060.473613
923,2020,55901.0,21060.473613
924,2020,2554320.0,21060.473613
925,2020,821141.0,21060.473613
926,2020,1306368.0,21060.473613
928,2020,666300.0,21060.473613
929,2020,3180709.0,21060.473613
930,2020,1815.0,21060.473613
931,2020,162741.0,21060.473613
932,2020,3043936.0,21060.473613
934,2020,19400.0,21060.473613
935,2020,10.0,21060.473613
937,2020,2319.0,21060.473613
938,2020,217943.0,21060.473613
939,2020,385378.0,21060.473613
940,2020,2752.0,21060.473613
941,2020,807761.0,21060.473613
942,2020,385378.0,21060.473613
943,2020,102824.0,21060.473613
944,2020,64911.0,21060.473613
946,2020,11999.0,21060.473613
948,2020,4493.0,21060.473613
952,2020,76220.0,21060.473613
953,2020,9512.0,21060.473613
954,2020,10.0,21060.473613
955,2020,28134.0,21060.473613
958,2020,117028.0,21060.473613
962,2020,419723.0,21060.473613
965,2020,3.0,21060.473613
966,2020,480982.0,21060.473613
967,2020,2592319.0,21060.473613
968,2020,86548.0,21060.473613
969,2020,31.0,21060.473613
970,2020,8789.0,21060.473613
972,2020,66932.0,21060.473613
974,2020,56537.0,21060.473613
975,2020,28431290.0,21060.473613
977,2020,950.0,21060.473613
978,2020,6759.0,21060.473613
981,2020,5161.0,21060.473613
984,2020,2554320.0,21060.473613
985,2020,8134830.0,21060.473613
988,2020,164060.0,21060.473613
990,2020,1250036.0,21060.473613
991,2020,320.0,21060.473613
992,2020,12.0,21060.473613
993,2020,149306.0,21060.473613
994,2020,317573.0,21060.473613
995,2020,2484.0,21060.473613
996,2020,571292.0,21060.473613
997,2020,4032.0,21060.473613
999,2020,1416.0,21060.473613
1000,2020,462655.0,21060.473613
1002,2020,33492749.0,21060.473613
1005,2020,124875.0,21060.473613
1006,2020,1331.0,21060.473613
1007,2020,66.0,21060.473613
1008,2020,698.0,21060.473613
1010,2020,3365.0,21060.473613
1011,2020,1.0,21060.473613
1014,2020,6749352.0,21060.473613
1015,2020,2786366.0,21060.473613
1016,2020,99357.0,21060.473613
1017,2020,3937.0,21060.473613
1018,2020,4841.0,21060.473613
1022,2020,4197.0,21060.473613
1023,2020,3429315.0,21060.473613
1024,2019,1.0,21380.976119
1026,2019,95381.0,21380.976119
1027,2019,50.0,21380.976119
1028,2019,960.0,21380.976119
1030,2019,2525005.0,21380.976119
1031,2019,50.0,21380.976119
1032,2019,2535377.0,21380.976119
1033,2019,10962.0,21380.976119
1034,2019,72786.0,21380.976119
1035,2019,1488854.0,21380.976119
1036,2019,3036052.0,21380.976119
1037,2019,4.0,21380.976119
1038,2019,1284614.0,21380.976119
1039,2019,671046.0,21380.976119
1040,2019,486650.0,21380.976119
1041,2019,399.0,21380.976119
1042,2019,413.0,21380.976119
1043,2019,13.0,21380.976119
1045,2019,82851.0,21380.976119
1046,2019,5044.0,21380.976119
1047,2019,1.0,21380.976119
1048,2019,49164.0,21380.976119
1049,2019,28255.0,21380.976119
1050,2019,8170468.0,21380.976119
1051,2019,524500.0,21380.976119
1052,2019,285457.0,21380.976119
1053,2019,31938.0,21380.976119
1055,2019,458046.0,21380.976119
1056,2019,3190695.0,21380.976119
1058,2019,2876.0,21380.976119
1059,2019,944.0,21380.976119
1061,2019,5044.0,21380.976119
1062,2019,13.0,21380.976119
1063,2019,66.0,21380.976119
1066,2019,578784.0,21380.976119
1067,2019,30436.0,21380.976119
1068,2019,414.0,21380.976119
1070,2019,84792.0,21380.976119
1071,2019,45270.0,21380.976119
1073,2019,2155214.0,21380.976119
1075,2019,2.0,21380.976119
1078,2019,704.0,21380.976119
1079,2019,7248.0,21380.976119
1080,2019,7433288.0,21380.976119
1081,2019,2243859.0,21380.976119
1082,2019,3036052.0,21380.976119
1083,2019,5.0,21380.976119
1084,2019,4279.0,21380.976119
1088,2019,4986.0,21380.976119
1089,2019,280.0,21380.976119
1091,2019,3107.0,21380.976119
1092,2019,3107.0,21380.976119
1093,2019,5269.0,21380.976119
1094,2019,667670.0,21380.976119
1095,2019,697149.0,21380.976119
1096,2019,272188.0,21380.976119
1100,2019,220605.0,21380.976119
1101,2019,1034994.0,21380.976119
1102,2019,2229805.0,21380.976119
1103,2019,6738.0,21380.976119
1104,2019,446171.0,21380.976119
1108,2019,1.0,21380.976119
1109,2019,22164.0,21380.976119
1110,2019,8.0,21380.976119
1111,2019,325683.0,21380.976119
1114,2019,189827.0,21380.976119
1116,2019,43534.0,21380.976119
1119,2019,6896792.0,21380.976119
1120,2019,2150.0,21380.976119
1121,2019,399.0,21380.976119
1122,2019,1118.0,21380.976119
1123,2019,9375530.0,21380.976119
1125,2019,188090.0,21380.976119
1126,2019,257.0,21380.976119
1127,2019,3190.0,21380.976119
1128,2019,262157.0,21380.976119
1129,2019,126879.0,21380.976119
1130,2019,15481.0,21380.976119
1131,2019,309504.0,21380.976119
1133,2019,699398.0,21380.976119
1134,2019,71.0,21380.976119
1135,2019,10429209.0,21380.976119
1136,2019,8733.0,21380.976119
1137,2019,37317.0,21380.976119
1138,2019,222.0,21380.976119
1139,2019,329887.0,21380.976119
1140,2019,5056.0,21380.976119
1141,2019,368029.0,21380.976119
1142,2019,106366.0,21380.976119
1143,2019,54347.0,21380.976119
1144,2019,77882.0,21380.976119
1145,2019,167346.0,21380.976119
1146,2019,336890.0,21380.976119
1147,2019,77882.0,21380.976119
1148,2019,1991.0,21380.976119
1149,2019,456024.0,21380.976119
1151,2019,196744.0,21380.976119
1152,2019,6896792.0,21380.976119
1157,2019,34025.0,21380.976119
1158,2019,2913744.0,21380.976119
1159,2019,2547897.0,21380.976119
1161,2019,37294.0,21380.976119
1164,2019,4599.0,21380.976119
1165,2019,3185340.0,21380.976119
1166,2019,106366.0,21380.976119
1167,2019,10962.0,21380.976119
1168,2019,5.0,21380.976119
1169,2019,384.0,21380.976119
1170,2019,183087.0,21380.976119
1171,2019,66.0,21380.976119
1172,2019,137073.0,21380.976119
1173,2019,55.0,21380.976119
1174,2019,9854.0,21380.976119
1175,2019,50409.0,21380.976119
1177,2019,27840830.0,21380.976119
1178,2019,6738.0,21380.976119
1180,2019,451281.0,21380.976119
1183,2019,5484.0,21380.976119
1185,2019,902544.0,21380.976119
1186,2019,352181.0,21380.976119
1187,2019,2833159.0,21380.976119
1188,2019,38013.0,21380.976119
1189,2019,36446918.0,21380.976119
1190,2019,2651631.0,21380.976119
1191,2019,5078.0,21380.976119
1195,2019,4599.0,21380.976119
1197,2019,55048.0,21380.976119
1198,2019,106311.0,21380.976119
1199,2019,5.0,21380.976119
1200,2019,4119.0,21380.976119
1201,2019,1460.0,21380.976119
1202,2019,167606.0,21380.976119
1203,2019,1208021.0,21380.976119
1204,2019,160637.0,21380.976119
1205,2019,26482.0,21380.976119
1206,2019,2249.0,21380.976119
1207,2019,6995.0,21380.976119
1209,2019,81.0,21380.976119
1211,2019,1516.0,21380.976119
1212,2019,524757.0,21380.976119
1214,2019,6422.0,21380.976119
1215,2019,639158.0,21380.976119
1216,2019,360500.0,21380.976119
1217,2019,2150.0,21380.976119
1219,2019,2870.0,21380.976119
1220,2019,5101.0,21380.976119
1226,2019,4296.0,21380.976119
1228,2019,272752.0,21380.976119
1229,2019,14399.0,21380.976119
1232,2019,271889.0,21380.976119
1235,2019,663243.0,21380.976119
1236,2019,38831.0,21380.976119
1237,2019,33307.0,21380.976119
1238,2019,89559.0,21380.976119
1239,2019,986.0,21380.976119
1243,2019,56.0,21380.976119
1244,2019,6645.0,21380.976119
1247,2019,14.0,21380.976119
1250,2019,184.0,21380.976119
1252,2019,224222.0,21380.976119
1253,2019,196823.0,21380.976119
